movieId,title,year,Drama,Comedy,Horror,Thriller,Action,Western,War,Crime,Documentary,Mystery,Sci-Fi,Adventure,Romance,Children,Animation,Fantasy,IMAX,Musical,Film-Noir
195495,Familia,2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3078,Liberty Heights,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134704,Comedy Central Roast of Charlie Sheen,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219976,47 Hours to Live,2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169206,Through the Air,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211986,A Raunchy Christmas Story,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171387,Çalgı Çengi,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31930,Masculin Féminin,1966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198189,Viper Club,2018,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183321,The Song of Lunch,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73449,"V.I.P.s, The",1963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80214,"Swan and the Wanderer, The (Kulkuri ja joutsen)",1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128265,The Stranger Wore a Gun,1953,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27087,The Sinners of Hell,1960,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192043,Red Cow,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8699,Dancing in September,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69964,"Giant of Marathon, The (Battaglia di Maratona, La)",1959,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6326,City of Ghosts,2002,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
279808,The Grab,2022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
133547,El bosque de Karadima,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132309,Without a Trace,1983,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,Richard III,1995,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75395,Frozen,2010,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236141,American Skin,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196889,Glass,2019,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
255581,Rent,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
